@RELATION training_keyboard


   @ATTRIBUTE score NUMERIC
   @ATTRIBUTE prev_score NUMERIC
   @ATTRIBUTE prev_action {Stop,West,East,North,South}
   @ATTRIBUTE num_food NUMERIC
   @ATTRIBUTE num_capsules NUMERIC
   @ATTRIBUTE pacman_x NUMERIC
   @ATTRIBUTE pacman_y NUMERIC
   @ATTRIBUTE ghost0_x NUMERIC
   @ATTRIBUTE ghost0_y NUMERIC
   @ATTRIBUTE ghost1_x NUMERIC
   @ATTRIBUTE ghost1_y NUMERIC
   @ATTRIBUTE ghost2_x NUMERIC
   @ATTRIBUTE ghost2_y NUMERIC
   @ATTRIBUTE ghost3_x NUMERIC
   @ATTRIBUTE ghost3_y NUMERIC


   @data
0,-1,Stop,0,4,14,3,10,15,13,15,14,15,17,15
-1,-2,Stop,0,4,14,3,10,15,13,15,14,15,17,15
-2,-3,Stop,0,4,14,3,10,15,13,15,14,15,17,15
-3,-4,Stop,0,4,14,3,10,15,13,15,14,15,17,15
-4,-5,Stop,0,4,14,3,10,15,13,15,14,15,17,15
-5,-6,Stop,0,4,14,3,10,15,13,15,14,15,17,15
-6,-7,Stop,0,4,14,3,10,15,13,15,14,15,17,15
-7,-8,Stop,0,4,14,3,10,15,13,15,14,15,17,15
-8,-9,Stop,0,4,14,3,10,15,13,15,14,15,17,15
-9,-10,Stop,0,4,14,3,10,15,13,15,14,15,17,15
-10,-11,East,0,4,15,3,10,15,13,15,14,15,17,15
-11,-12,East,0,4,16,3,10,15,13,15,14,15,17,15
-12,-13,East,0,4,17,3,10,15,13,15,14,15,17,15
-13,-14,East,0,4,18,3,10,15,13,15,14,15,17,15
-14,-15,East,0,4,19,3,10,15,13,15,14,15,17,15
-15,-16,East,0,4,20,3,10,15,13,15,14,15,17,15
-16,-17,East,0,4,21,3,10,15,13,15,14,15,17,15
-17,-18,East,0,4,22,3,10,15,13,15,14,15,17,15
-18,-19,East,0,4,23,3,10,15,13,15,14,15,17,15
-19,-20,East,0,4,24,3,10,15,13,15,14,15,17,15
-20,-21,East,0,4,25,3,10,15,13,15,14,15,17,15
-21,-22,East,0,4,26,3,10,15,13,15,14,15,17,15
-22,-23,East,0,4,26,3,10,15,13,15,14,15,17,15
-23,-24,North,0,4,26,4,10,15,13,15,14,15,17,15
-24,-25,North,0,4,26,5,10,15,13,15,14,15,17,15
-25,-26,West,0,4,25,5,10,15,13,15,14,15,17,15
-26,-27,West,0,4,24,5,10,15,13,15,14,15,17,15
-27,-28,North,0,4,24,6,10,15,13,15,14,15,17,15
-28,-29,North,0,4,24,7,10,15,13,15,14,15,17,15
-29,-30,North,0,4,24,8,10,15,13,15,14,15,17,15
-30,-31,East,0,4,25,8,10,15,13,15,14,15,17,15
-31,-32,East,0,4,26,8,10,15,13,15,14,15,17,15
-32,-33,East,0,4,26,8,10,15,13,15,14,15,17,15
-33,-34,North,0,4,26,9,10,15,13,15,14,15,17,15
-34,-35,North,0,4,26,10,10,15,13,15,14,15,17,15
-35,-36,North,0,4,26,11,10,15,13,15,14,15,17,15
-36,-37,West,0,4,25,11,10,15,13,15,14,15,17,15
-37,-38,West,0,4,24,11,10,15,13,15,14,15,17,15
-38,-39,West,0,4,23,11,10,15,13,15,14,15,17,15
-39,-40,West,0,4,22,11,10,15,13,15,14,15,17,15
-40,-41,West,0,4,21,11,10,15,13,15,14,15,17,15
-41,-42,West,0,4,20,11,10,15,13,15,14,15,17,15
-42,-43,West,0,4,19,11,10,15,13,15,14,15,17,15
-43,-44,North,0,4,19,12,10,15,13,15,14,15,17,15
-44,-45,North,0,4,19,13,10,15,13,15,14,15,17,15
-45,-46,North,0,4,19,14,10,15,13,15,14,15,17,15
-46,-47,North,0,4,19,15,10,15,13,15,14,15,17,15
-47,-48,North,0,4,19,16,10,15,13,15,14,15,17,15
-48,-49,North,0,4,19,17,10,15,13,15,14,15,17,15
-49,-50,West,0,4,18,17,10,15,13,15,14,15,17,15
-50,-51,West,0,4,17,17,10,15,13,15,14,15,17,15
-51,-52,West,0,4,16,17,10,15,13,15,14,15,17,15
-52,-53,West,0,4,15,17,10,15,13,15,14,15,17,15
-53,-54,West,0,4,14,17,10,15,13,15,14,15,17,15
-54,-55,South,0,4,14,16,10,15,13,15,14,15,17,15
145,144,South,0,4,14,15,10,15,13,15,-1,-1,17,15
144,143,South,0,4,14,15,10,15,13,15,-1,-1,17,15
343,342,West,0,4,13,15,10,15,-1,-1,-1,-1,17,15
342,341,West,0,4,12,15,10,15,-1,-1,-1,-1,17,15
341,340,West,0,4,11,15,10,15,-1,-1,-1,-1,17,15
540,539,West,0,4,10,15,-1,-1,-1,-1,-1,-1,17,15
539,538,East,0,4,11,15,-1,-1,-1,-1,-1,-1,17,15
538,537,East,0,4,12,15,-1,-1,-1,-1,-1,-1,17,15
537,536,East,0,4,13,15,-1,-1,-1,-1,-1,-1,17,15
536,535,East,0,4,14,15,-1,-1,-1,-1,-1,-1,17,15
535,534,East,0,4,15,15,-1,-1,-1,-1,-1,-1,17,15
534,533,East,0,4,16,15,-1,-1,-1,-1,-1,-1,17,15
0,-1,Stop,0,4,14,3,10,15,13,15,14,15,17,15
-1,-2,Stop,0,4,14,3,10,15,13,15,14,15,17,15
-2,-3,Stop,0,4,14,3,10,15,13,15,14,15,17,15
-3,-4,Stop,0,4,14,3,10,15,13,15,14,15,17,15
-4,-5,Stop,0,4,14,3,10,15,13,15,14,15,17,15
-5,-6,Stop,0,4,14,3,10,15,13,15,14,15,17,15
-6,-7,Stop,0,4,14,3,10,15,13,15,14,15,17,15
-7,-8,West,0,4,13,3,10,15,13,15,14,15,17,15
-8,-9,West,0,4,12,3,10,15,13,15,14,15,17,15
-9,-10,West,0,4,11,3,10,15,13,15,14,15,17,15
-10,-11,West,0,4,10,3,10,15,13,15,14,15,17,15
-11,-12,West,0,4,9,3,10,15,13,15,14,15,17,15
-12,-13,West,0,4,8,3,10,15,13,15,14,15,17,15
-13,-14,West,0,4,7,3,10,15,13,15,14,15,17,15
-14,-15,West,0,4,6,3,10,15,13,15,14,15,17,15
-15,-16,West,0,4,5,3,10,15,13,15,14,15,17,15
-16,-17,West,0,4,4,3,10,15,13,15,14,15,17,15
-17,-18,West,0,4,3,3,10,15,13,15,14,15,17,15
-18,-19,West,0,4,2,3,10,15,13,15,14,15,17,15
