@RELATION training_tutorial1


   @ATTRIBUTE score NUMERIC
   @ATTRIBUTE prev_score NUMERIC
   @ATTRIBUTE prev_action {Stop,West,East,North,South}
   @ATTRIBUTE num_food NUMERIC
   @ATTRIBUTE num_capsules NUMERIC
   @ATTRIBUTE pacman_x NUMERIC
   @ATTRIBUTE pacman_y NUMERIC
   @ATTRIBUTE ghost0_x NUMERIC
   @ATTRIBUTE ghost0_y NUMERIC
   @ATTRIBUTE ghost1_x NUMERIC
   @ATTRIBUTE ghost1_y NUMERIC
   @ATTRIBUTE ghost2_x NUMERIC
   @ATTRIBUTE ghost2_y NUMERIC
   @ATTRIBUTE ghost3_x NUMERIC
   @ATTRIBUTE ghost3_y NUMERIC


   @data
0,-1,Stop,0,0,1,6,6,4,8,6,11,3,16,6
-1,-2,East,0,0,2,6,6,4,8,6,11,3,16,6
-2,-3,East,0,0,3,6,6,4,8,6,11,3,16,6
-3,-4,East,0,0,4,6,6,4,8,6,11,3,16,6
-4,-5,East,0,0,5,6,6,4,8,6,11,3,16,6
-5,-6,West,0,0,4,6,6,4,8,6,11,3,16,6
-6,-7,East,0,0,5,6,6,4,8,6,11,3,16,6
-7,-8,East,0,0,6,6,6,4,8,6,11,3,16,6
-8,-9,East,0,0,7,6,6,4,8,6,11,3,16,6
191,190,East,0,0,8,6,6,4,-1,-1,11,3,16,6
190,189,East,0,0,9,6,6,4,-1,-1,11,3,16,6
189,188,West,0,0,8,6,6,4,-1,-1,11,3,16,6
188,187,West,0,0,7,6,6,4,-1,-1,11,3,16,6
187,186,South,0,0,7,5,6,4,-1,-1,11,3,16,6
186,185,South,0,0,7,4,6,4,-1,-1,11,3,16,6
385,384,West,0,0,6,4,-1,-1,-1,-1,11,3,16,6
384,383,East,0,0,7,4,-1,-1,-1,-1,11,3,16,6
383,382,East,0,0,8,4,-1,-1,-1,-1,11,3,16,6
382,381,East,0,0,9,4,-1,-1,-1,-1,11,3,16,6
381,380,East,0,0,10,4,-1,-1,-1,-1,11,3,16,6
380,379,South,0,0,10,3,-1,-1,-1,-1,11,3,16,6
579,578,East,0,0,11,3,-1,-1,-1,-1,-1,-1,16,6
578,577,East,0,0,12,3,-1,-1,-1,-1,-1,-1,16,6
577,576,East,0,0,13,3,-1,-1,-1,-1,-1,-1,16,6
576,575,North,0,0,13,4,-1,-1,-1,-1,-1,-1,16,6
575,574,East,0,0,14,4,-1,-1,-1,-1,-1,-1,16,6
574,573,North,0,0,14,5,-1,-1,-1,-1,-1,-1,16,6
573,572,South,0,0,14,4,-1,-1,-1,-1,-1,-1,16,6
572,571,North,0,0,14,5,-1,-1,-1,-1,-1,-1,16,6
571,570,South,0,0,14,4,-1,-1,-1,-1,-1,-1,16,6
570,569,North,0,0,14,5,-1,-1,-1,-1,-1,-1,16,6
569,568,North,0,0,14,6,-1,-1,-1,-1,-1,-1,16,6
568,567,East,0,0,15,6,-1,-1,-1,-1,-1,-1,16,6
0,-1,Stop,121,2,4,12,9,3,11,7,19,12,22,9
-1,-2,East,121,2,5,12,9,3,11,7,19,12,22,9
-2,-3,East,121,2,6,12,9,3,11,7,19,12,22,9
97,96,South,120,2,6,11,9,3,11,7,19,12,22,9
196,195,East,119,2,7,11,9,3,11,7,19,12,22,9
295,294,South,118,2,7,10,9,3,11,7,19,12,22,9
294,293,East,118,2,8,10,9,3,11,7,19,12,22,9
393,392,South,117,2,8,9,9,3,11,7,19,12,22,9
492,491,East,116,2,9,9,9,3,11,7,19,12,22,9
491,490,South,116,2,9,8,9,3,11,7,19,12,22,9
590,589,East,115,2,10,8,9,3,11,7,19,12,22,9
689,688,South,114,2,10,7,9,3,11,7,19,12,22,9
888,887,East,114,2,11,7,9,3,-1,-1,19,12,22,9
887,886,South,114,2,11,6,9,3,-1,-1,19,12,22,9
986,985,South,113,2,11,5,9,3,-1,-1,19,12,22,9
1085,1084,South,112,2,11,4,9,3,-1,-1,19,12,22,9
1184,1183,West,111,2,10,4,9,3,-1,-1,19,12,22,9
1283,1282,South,110,2,10,3,9,3,-1,-1,19,12,22,9
1482,1481,West,110,2,9,3,-1,-1,-1,-1,19,12,22,9
1481,1480,East,110,2,10,3,-1,-1,-1,-1,19,12,22,9
1480,1479,North,110,2,10,4,-1,-1,-1,-1,19,12,22,9
1479,1478,East,110,2,11,4,-1,-1,-1,-1,19,12,22,9
1478,1477,North,110,2,11,5,-1,-1,-1,-1,19,12,22,9
1577,1576,East,109,2,12,5,-1,-1,-1,-1,19,12,22,9
1576,1575,North,109,2,12,6,-1,-1,-1,-1,19,12,22,9
1575,1574,East,109,2,13,6,-1,-1,-1,-1,19,12,22,9
1574,1573,North,109,2,13,7,-1,-1,-1,-1,19,12,22,9
1573,1572,East,109,2,14,7,-1,-1,-1,-1,19,12,22,9
1572,1571,North,109,2,14,8,-1,-1,-1,-1,19,12,22,9
1671,1670,East,108,2,15,8,-1,-1,-1,-1,19,12,22,9
1670,1669,North,108,2,15,9,-1,-1,-1,-1,19,12,22,9
1669,1668,East,108,2,16,9,-1,-1,-1,-1,19,12,22,9
1768,1767,North,107,2,16,10,-1,-1,-1,-1,19,12,22,9
1867,1866,East,106,2,17,10,-1,-1,-1,-1,19,12,22,9
1966,1965,North,105,2,17,11,-1,-1,-1,-1,19,12,22,9
1965,1964,East,105,2,18,11,-1,-1,-1,-1,19,12,22,9
2064,2063,North,104,2,18,12,-1,-1,-1,-1,19,12,22,9
2263,2262,East,104,2,19,12,-1,-1,-1,-1,-1,-1,22,9
2262,2261,South,104,2,19,11,-1,-1,-1,-1,-1,-1,22,9
2361,2360,East,103,2,20,11,-1,-1,-1,-1,-1,-1,22,9
2460,2459,South,102,2,20,10,-1,-1,-1,-1,-1,-1,22,9
2559,2558,East,101,2,21,10,-1,-1,-1,-1,-1,-1,22,9
2558,2557,South,101,2,21,9,-1,-1,-1,-1,-1,-1,22,9
0,-1,Stop,53,2,9,1,1,5,8,5,11,5,18,5
99,98,East,52,2,10,1,1,5,8,5,11,5,18,5
98,97,West,52,2,9,1,1,5,8,5,11,5,18,5
197,196,West,51,2,8,1,1,5,8,5,11,5,18,5
296,295,West,50,2,7,1,1,5,8,5,11,5,18,5
295,294,East,50,2,8,1,1,5,8,5,11,5,18,5
294,293,West,50,2,7,1,1,5,8,5,11,5,18,5
293,292,East,50,2,8,1,1,5,8,5,11,5,18,5
292,291,East,50,2,9,1,1,5,8,5,11,5,18,5
291,290,West,50,2,8,1,1,5,8,5,11,5,18,5
290,289,West,50,2,7,1,1,5,8,5,11,5,18,5
289,288,East,50,2,8,1,1,5,8,5,11,5,18,5
288,287,East,50,2,9,1,1,5,8,5,11,5,18,5
287,286,East,50,2,10,1,1,5,8,5,11,5,18,5
286,285,West,50,2,9,1,1,5,8,5,11,5,18,5
285,284,West,50,2,8,1,1,5,8,5,11,5,18,5
284,283,East,50,2,9,1,1,5,8,5,11,5,18,5
283,282,West,50,2,8,1,1,5,8,5,11,5,18,5
282,281,West,50,2,7,1,1,5,8,5,11,5,18,5
381,380,West,49,2,6,1,1,5,8,5,11,5,18,5
480,479,North,48,2,6,2,1,5,8,5,11,5,18,5
579,578,North,47,2,6,3,1,5,8,5,11,5,18,5
678,677,North,46,2,6,4,1,5,8,5,11,5,18,5
777,776,North,45,2,6,5,1,5,8,5,11,5,18,5
776,775,South,45,2,6,4,1,5,8,5,11,5,18,5
875,874,West,44,2,5,4,1,5,8,5,11,5,18,5
874,873,East,44,2,6,4,1,5,8,5,11,5,18,5
873,872,South,44,2,6,3,1,5,8,5,11,5,18,5
872,871,North,44,2,6,4,1,5,8,5,11,5,18,5
871,870,North,44,2,6,5,1,5,8,5,11,5,18,5
870,869,South,44,2,6,4,1,5,8,5,11,5,18,5
869,868,North,44,2,6,5,1,5,8,5,11,5,18,5
968,967,West,43,2,5,5,1,5,8,5,11,5,18,5
967,966,East,43,2,6,5,1,5,8,5,11,5,18,5
966,965,West,43,2,5,5,1,5,8,5,11,5,18,5
965,964,East,43,2,6,5,1,5,8,5,11,5,18,5
964,963,West,43,2,5,5,1,5,8,5,11,5,18,5
963,962,East,43,2,6,5,1,5,8,5,11,5,18,5
962,961,West,43,2,5,5,1,5,8,5,11,5,18,5
961,960,East,43,2,6,5,1,5,8,5,11,5,18,5
960,959,West,43,2,5,5,1,5,8,5,11,5,18,5
959,958,East,43,2,6,5,1,5,8,5,11,5,18,5
958,957,West,43,2,5,5,1,5,8,5,11,5,18,5
957,956,East,43,2,6,5,1,5,8,5,11,5,18,5
956,955,West,43,2,5,5,1,5,8,5,11,5,18,5
955,954,East,43,2,6,5,1,5,8,5,11,5,18,5
954,953,West,43,2,5,5,1,5,8,5,11,5,18,5
953,952,East,43,2,6,5,1,5,8,5,11,5,18,5
952,951,South,43,2,6,4,1,5,8,5,11,5,18,5
951,950,North,43,2,6,5,1,5,8,5,11,5,18,5
950,949,West,43,2,5,5,1,5,8,5,11,5,18,5
949,948,East,43,2,6,5,1,5,8,5,11,5,18,5
948,947,South,43,2,6,4,1,5,8,5,11,5,18,5
947,946,South,43,2,6,3,1,5,8,5,11,5,18,5
946,945,North,43,2,6,4,1,5,8,5,11,5,18,5
945,944,North,43,2,6,5,1,5,8,5,11,5,18,5
944,943,South,43,2,6,4,1,5,8,5,11,5,18,5
943,942,South,43,2,6,3,1,5,8,5,11,5,18,5
942,941,North,43,2,6,4,1,5,8,5,11,5,18,5
941,940,West,43,2,5,4,1,5,8,5,11,5,18,5
940,939,East,43,2,6,4,1,5,8,5,11,5,18,5
939,938,West,43,2,5,4,1,5,8,5,11,5,18,5
938,937,East,43,2,6,4,1,5,8,5,11,5,18,5
937,936,North,43,2,6,5,1,5,8,5,11,5,18,5
936,935,West,43,2,5,5,1,5,8,5,11,5,18,5
935,934,East,43,2,6,5,1,5,8,5,11,5,18,5
934,933,West,43,2,5,5,1,5,8,5,11,5,18,5
933,932,East,43,2,6,5,1,5,8,5,11,5,18,5
932,931,West,43,2,5,5,1,5,8,5,11,5,18,5
931,930,East,43,2,6,5,1,5,8,5,11,5,18,5
930,929,South,43,2,6,4,1,5,8,5,11,5,18,5
929,928,North,43,2,6,5,1,5,8,5,11,5,18,5
928,927,West,43,2,5,5,1,5,8,5,11,5,18,5
927,926,East,43,2,6,5,1,5,8,5,11,5,18,5
926,925,South,43,2,6,4,1,5,8,5,11,5,18,5
925,924,West,43,2,5,4,1,5,8,5,11,5,18,5
924,923,East,43,2,6,4,1,5,8,5,11,5,18,5
923,922,West,43,2,5,4,1,5,8,5,11,5,18,5
922,921,East,43,2,6,4,1,5,8,5,11,5,18,5
921,920,South,43,2,6,3,1,5,8,5,11,5,18,5
920,919,North,43,2,6,4,1,5,8,5,11,5,18,5
919,918,North,43,2,6,5,1,5,8,5,11,5,18,5
918,917,West,43,2,5,5,1,5,8,5,11,5,18,5
917,916,East,43,2,6,5,1,5,8,5,11,5,18,5
916,915,West,43,2,5,5,1,5,8,5,11,5,18,5
915,914,East,43,2,6,5,1,5,8,5,11,5,18,5
914,913,West,43,2,5,5,1,5,8,5,11,5,18,5
913,912,East,43,2,6,5,1,5,8,5,11,5,18,5
912,911,West,43,2,5,5,1,5,8,5,11,5,18,5
911,910,East,43,2,6,5,1,5,8,5,11,5,18,5
910,909,West,43,2,5,5,1,5,8,5,11,5,18,5
909,908,East,43,2,6,5,1,5,8,5,11,5,18,5
908,907,South,43,2,6,4,1,5,8,5,11,5,18,5
907,906,North,43,2,6,5,1,5,8,5,11,5,18,5
906,905,South,43,2,6,4,1,5,8,5,11,5,18,5
905,904,West,43,2,5,4,1,5,8,5,11,5,18,5
904,903,East,43,2,6,4,1,5,8,5,11,5,18,5
903,902,West,43,2,5,4,1,5,8,5,11,5,18,5
902,901,East,43,2,6,4,1,5,8,5,11,5,18,5
901,900,South,43,2,6,3,1,5,8,5,11,5,18,5
900,899,North,43,2,6,4,1,5,8,5,11,5,18,5
899,898,West,43,2,5,4,1,5,8,5,11,5,18,5
898,897,East,43,2,6,4,1,5,8,5,11,5,18,5
897,896,South,43,2,6,3,1,5,8,5,11,5,18,5
896,895,North,43,2,6,4,1,5,8,5,11,5,18,5
895,894,South,43,2,6,3,1,5,8,5,11,5,18,5
894,893,North,43,2,6,4,1,5,8,5,11,5,18,5
893,892,South,43,2,6,3,1,5,8,5,11,5,18,5
892,891,North,43,2,6,4,1,5,8,5,11,5,18,5
891,890,South,43,2,6,3,1,5,8,5,11,5,18,5
890,889,North,43,2,6,4,1,5,8,5,11,5,18,5
889,888,West,43,2,5,4,1,5,8,5,11,5,18,5
888,887,East,43,2,6,4,1,5,8,5,11,5,18,5
887,886,North,43,2,6,5,1,5,8,5,11,5,18,5
886,885,South,43,2,6,4,1,5,8,5,11,5,18,5
885,884,West,43,2,5,4,1,5,8,5,11,5,18,5
884,883,East,43,2,6,4,1,5,8,5,11,5,18,5
883,882,North,43,2,6,5,1,5,8,5,11,5,18,5
882,881,South,43,2,6,4,1,5,8,5,11,5,18,5
881,880,West,43,2,5,4,1,5,8,5,11,5,18,5
880,879,East,43,2,6,4,1,5,8,5,11,5,18,5
879,878,North,43,2,6,5,1,5,8,5,11,5,18,5
878,877,South,43,2,6,4,1,5,8,5,11,5,18,5
877,876,South,43,2,6,3,1,5,8,5,11,5,18,5
876,875,North,43,2,6,4,1,5,8,5,11,5,18,5
875,874,North,43,2,6,5,1,5,8,5,11,5,18,5
874,873,South,43,2,6,4,1,5,8,5,11,5,18,5
873,872,West,43,2,5,4,1,5,8,5,11,5,18,5
872,871,East,43,2,6,4,1,5,8,5,11,5,18,5
871,870,South,43,2,6,3,1,5,8,5,11,5,18,5
870,869,North,43,2,6,4,1,5,8,5,11,5,18,5
869,868,West,43,2,5,4,1,5,8,5,11,5,18,5
868,867,East,43,2,6,4,1,5,8,5,11,5,18,5
867,866,North,43,2,6,5,1,5,8,5,11,5,18,5
866,865,South,43,2,6,4,1,5,8,5,11,5,18,5
865,864,West,43,2,5,4,1,5,8,5,11,5,18,5
864,863,East,43,2,6,4,1,5,8,5,11,5,18,5
863,862,South,43,2,6,3,1,5,8,5,11,5,18,5
862,861,North,43,2,6,4,1,5,8,5,11,5,18,5
861,860,North,43,2,6,5,1,5,8,5,11,5,18,5
860,859,South,43,2,6,4,1,5,8,5,11,5,18,5
0,-1,Stop,0,0,1,6,6,4,8,6,11,3,16,6
-1,-2,East,0,0,2,6,6,4,8,6,11,3,16,6
-2,-3,East,0,0,3,6,6,4,8,6,11,3,16,6
-3,-4,East,0,0,4,6,6,4,8,6,11,3,16,6
-4,-5,East,0,0,5,6,6,4,8,6,11,3,16,6
-5,-6,East,0,0,6,6,6,4,8,6,11,3,16,6
-6,-7,West,0,0,5,6,6,4,8,6,11,3,16,6
-7,-8,East,0,0,6,6,6,4,8,6,11,3,16,6
-8,-9,West,0,0,5,6,6,4,8,6,11,3,16,6
-9,-10,West,0,0,4,6,6,4,8,6,11,3,16,6
-10,-11,West,0,0,3,6,6,4,8,6,11,3,16,6
-11,-12,East,0,0,4,6,6,4,8,6,11,3,16,6
-12,-13,West,0,0,3,6,6,4,8,6,11,3,16,6
-13,-14,East,0,0,4,6,6,4,8,6,11,3,16,6
-14,-15,East,0,0,5,6,6,4,8,6,11,3,16,6
-15,-16,East,0,0,6,6,6,4,8,6,11,3,16,6
-16,-17,West,0,0,5,6,6,4,8,6,11,3,16,6
-17,-18,West,0,0,4,6,6,4,8,6,11,3,16,6
-18,-19,East,0,0,5,6,6,4,8,6,11,3,16,6
-19,-20,West,0,0,4,6,6,4,8,6,11,3,16,6
-20,-21,West,0,0,3,6,6,4,8,6,11,3,16,6
-21,-22,East,0,0,4,6,6,4,8,6,11,3,16,6
-22,-23,West,0,0,3,6,6,4,8,6,11,3,16,6
-23,-24,East,0,0,4,6,6,4,8,6,11,3,16,6
-24,-25,East,0,0,5,6,6,4,8,6,11,3,16,6
-25,-26,West,0,0,4,6,6,4,8,6,11,3,16,6
-26,-27,West,0,0,3,6,6,4,8,6,11,3,16,6
-27,-28,East,0,0,4,6,6,4,8,6,11,3,16,6
-28,-29,West,0,0,3,6,6,4,8,6,11,3,16,6
-29,-30,East,0,0,4,6,6,4,8,6,11,3,16,6
-30,-31,West,0,0,3,6,6,4,8,6,11,3,16,6
