@relation 'training_keyboard-weka.filters.unsupervised.attribute.Reorder-R1,2,4,5,6,7,8,9,10,11,12,13,14,15,3'

@attribute score numeric
@attribute prev_score numeric
@attribute num_food numeric
@attribute num_capsules numeric
@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute ghost0_x numeric
@attribute ghost0_y numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute prev_action {Stop,West,East,North,South}

@data
0,-1,0,4,14,3,10,15,13,15,14,15,17,15,Stop
-1,-2,0,4,14,3,10,15,13,15,14,15,17,15,Stop
-2,-3,0,4,14,3,10,15,13,15,14,15,17,15,Stop
-3,-4,0,4,14,3,10,15,13,15,14,15,17,15,Stop
-4,-5,0,4,14,3,10,15,13,15,14,15,17,15,Stop
-5,-6,0,4,14,3,10,15,13,15,14,15,17,15,Stop
-6,-7,0,4,14,3,10,15,13,15,14,15,17,15,Stop
-7,-8,0,4,14,3,10,15,13,15,14,15,17,15,Stop
-8,-9,0,4,14,3,10,15,13,15,14,15,17,15,Stop
-9,-10,0,4,14,3,10,15,13,15,14,15,17,15,Stop
-10,-11,0,4,15,3,10,15,13,15,14,15,17,15,East
-11,-12,0,4,16,3,10,15,13,15,14,15,17,15,East
-12,-13,0,4,17,3,10,15,13,15,14,15,17,15,East
-13,-14,0,4,18,3,10,15,13,15,14,15,17,15,East
-14,-15,0,4,19,3,10,15,13,15,14,15,17,15,East
-15,-16,0,4,20,3,10,15,13,15,14,15,17,15,East
-16,-17,0,4,21,3,10,15,13,15,14,15,17,15,East
-17,-18,0,4,22,3,10,15,13,15,14,15,17,15,East
-18,-19,0,4,23,3,10,15,13,15,14,15,17,15,East
-19,-20,0,4,24,3,10,15,13,15,14,15,17,15,East
-20,-21,0,4,25,3,10,15,13,15,14,15,17,15,East
-21,-22,0,4,26,3,10,15,13,15,14,15,17,15,East
-22,-23,0,4,26,3,10,15,13,15,14,15,17,15,East
-23,-24,0,4,26,4,10,15,13,15,14,15,17,15,North
-24,-25,0,4,26,5,10,15,13,15,14,15,17,15,North
-25,-26,0,4,25,5,10,15,13,15,14,15,17,15,West
-26,-27,0,4,24,5,10,15,13,15,14,15,17,15,West
-27,-28,0,4,24,6,10,15,13,15,14,15,17,15,North
-28,-29,0,4,24,7,10,15,13,15,14,15,17,15,North
-29,-30,0,4,24,8,10,15,13,15,14,15,17,15,North
-30,-31,0,4,25,8,10,15,13,15,14,15,17,15,East
-31,-32,0,4,26,8,10,15,13,15,14,15,17,15,East
-32,-33,0,4,26,8,10,15,13,15,14,15,17,15,East
-33,-34,0,4,26,9,10,15,13,15,14,15,17,15,North
-34,-35,0,4,26,10,10,15,13,15,14,15,17,15,North
-35,-36,0,4,26,11,10,15,13,15,14,15,17,15,North
-36,-37,0,4,25,11,10,15,13,15,14,15,17,15,West
-37,-38,0,4,24,11,10,15,13,15,14,15,17,15,West
-38,-39,0,4,23,11,10,15,13,15,14,15,17,15,West
-39,-40,0,4,22,11,10,15,13,15,14,15,17,15,West
-40,-41,0,4,21,11,10,15,13,15,14,15,17,15,West
-41,-42,0,4,20,11,10,15,13,15,14,15,17,15,West
-42,-43,0,4,19,11,10,15,13,15,14,15,17,15,West
-43,-44,0,4,19,12,10,15,13,15,14,15,17,15,North
