@relation 'training_tutorial1-weka.filters.unsupervised.attribute.Reorder-R1,2,4,5,6,7,8,9,10,11,12,13,14,15,3'

@attribute score numeric
@attribute prev_score numeric
@attribute num_food numeric
@attribute num_capsules numeric
@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute ghost0_x numeric
@attribute ghost0_y numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute prev_action {Stop,West,East,North,South}

@data
0,-1,0,0,1,6,6,4,8,6,11,3,16,6,Stop
0,-1,121,2,4,12,9,3,11,7,19,12,22,9,Stop
0,-1,53,2,9,1,1,5,8,5,11,5,18,5,Stop
0,-1,0,0,1,6,6,4,8,6,11,3,16,6,Stop
0,-1,0,0,1,6,6,4,8,6,11,3,16,6,Stop
0,-1,0,0,1,18,5,9,11,3,17,6,25,13,Stop
0,-1,0,0,1,6,6,4,8,6,11,3,16,6,Stop
-5,-6,0,0,4,6,6,4,8,6,11,3,16,6,West
189,188,0,0,8,6,6,4,-1,-1,11,3,16,6,West
188,187,0,0,7,6,6,4,-1,-1,11,3,16,6,West
385,384,0,0,6,4,-1,-1,-1,-1,11,3,16,6,West
1184,1183,111,2,10,4,9,3,-1,-1,19,12,22,9,West
1482,1481,110,2,9,3,-1,-1,-1,-1,19,12,22,9,West
98,97,52,2,9,1,1,5,8,5,11,5,18,5,West
197,196,51,2,8,1,1,5,8,5,11,5,18,5,West
296,295,50,2,7,1,1,5,8,5,11,5,18,5,West
294,293,50,2,7,1,1,5,8,5,11,5,18,5,West
291,290,50,2,8,1,1,5,8,5,11,5,18,5,West
290,289,50,2,7,1,1,5,8,5,11,5,18,5,West
286,285,50,2,9,1,1,5,8,5,11,5,18,5,West
285,284,50,2,8,1,1,5,8,5,11,5,18,5,West
283,282,50,2,8,1,1,5,8,5,11,5,18,5,West
282,281,50,2,7,1,1,5,8,5,11,5,18,5,West
381,380,49,2,6,1,1,5,8,5,11,5,18,5,West
875,874,44,2,5,4,1,5,8,5,11,5,18,5,West
968,967,43,2,5,5,1,5,8,5,11,5,18,5,West
966,965,43,2,5,5,1,5,8,5,11,5,18,5,West
964,963,43,2,5,5,1,5,8,5,11,5,18,5,West
962,961,43,2,5,5,1,5,8,5,11,5,18,5,West
960,959,43,2,5,5,1,5,8,5,11,5,18,5,West
958,957,43,2,5,5,1,5,8,5,11,5,18,5,West
956,955,43,2,5,5,1,5,8,5,11,5,18,5,West
954,953,43,2,5,5,1,5,8,5,11,5,18,5,West
950,949,43,2,5,5,1,5,8,5,11,5,18,5,West
941,940,43,2,5,4,1,5,8,5,11,5,18,5,West
939,938,43,2,5,4,1,5,8,5,11,5,18,5,West
936,935,43,2,5,5,1,5,8,5,11,5,18,5,West
934,933,43,2,5,5,1,5,8,5,11,5,18,5,West
932,931,43,2,5,5,1,5,8,5,11,5,18,5,West
928,927,43,2,5,5,1,5,8,5,11,5,18,5,West
925,924,43,2,5,4,1,5,8,5,11,5,18,5,West
923,922,43,2,5,4,1,5,8,5,11,5,18,5,West
918,917,43,2,5,5,1,5,8,5,11,5,18,5,West
916,915,43,2,5,5,1,5,8,5,11,5,18,5,West
914,913,43,2,5,5,1,5,8,5,11,5,18,5,West
912,911,43,2,5,5,1,5,8,5,11,5,18,5,West
910,909,43,2,5,5,1,5,8,5,11,5,18,5,West
905,904,43,2,5,4,1,5,8,5,11,5,18,5,West
903,902,43,2,5,4,1,5,8,5,11,5,18,5,West
899,898,43,2,5,4,1,5,8,5,11,5,18,5,West
889,888,43,2,5,4,1,5,8,5,11,5,18,5,West
885,884,43,2,5,4,1,5,8,5,11,5,18,5,West
881,880,43,2,5,4,1,5,8,5,11,5,18,5,West
873,872,43,2,5,4,1,5,8,5,11,5,18,5,West
869,868,43,2,5,4,1,5,8,5,11,5,18,5,West
865,864,43,2,5,4,1,5,8,5,11,5,18,5,West
-6,-7,0,0,5,6,6,4,8,6,11,3,16,6,West
-8,-9,0,0,5,6,6,4,8,6,11,3,16,6,West
-9,-10,0,0,4,6,6,4,8,6,11,3,16,6,West
-10,-11,0,0,3,6,6,4,8,6,11,3,16,6,West
-12,-13,0,0,3,6,6,4,8,6,11,3,16,6,West
-16,-17,0,0,5,6,6,4,8,6,11,3,16,6,West
-17,-18,0,0,4,6,6,4,8,6,11,3,16,6,West
-19,-20,0,0,4,6,6,4,8,6,11,3,16,6,West
-20,-21,0,0,3,6,6,4,8,6,11,3,16,6,West
-22,-23,0,0,3,6,6,4,8,6,11,3,16,6,West
-25,-26,0,0,4,6,6,4,8,6,11,3,16,6,West
-26,-27,0,0,3,6,6,4,8,6,11,3,16,6,West
-28,-29,0,0,3,6,6,4,8,6,11,3,16,6,West
-30,-31,0,0,3,6,6,4,8,6,11,3,16,6,West
-33,-34,0,0,4,6,6,4,8,6,11,3,16,6,West
-35,-36,0,0,4,6,6,4,8,6,11,3,16,6,West
-36,-37,0,0,3,6,6,4,8,6,11,3,16,6,West
-38,-39,0,0,3,6,6,4,8,6,11,3,16,6,West
-41,-42,0,0,4,6,6,4,8,6,11,3,16,6,West
-42,-43,0,0,3,6,6,4,8,6,11,3,16,6,West
-44,-45,0,0,3,6,6,4,8,6,11,3,16,6,West
149,148,0,0,8,6,6,4,-1,-1,11,3,16,6,West
148,147,0,0,7,6,6,4,-1,-1,11,3,16,6,West
345,344,0,0,6,4,-1,-1,-1,-1,11,3,16,6,West
-4,-5,0,0,3,6,6,4,8,6,11,3,16,6,West
-6,-7,0,0,3,6,6,4,8,6,11,3,16,6,West
187,186,0,0,8,6,6,4,-1,-1,11,3,16,6,West
186,185,0,0,7,6,6,4,-1,-1,11,3,16,6,West
383,382,0,0,6,4,-1,-1,-1,-1,11,3,16,6,West
-8,-9,0,0,1,12,5,9,11,3,17,6,25,13,West
-11,-12,0,0,2,12,5,9,11,3,17,6,25,13,West
-14,-15,0,0,3,12,5,9,11,3,17,6,25,13,West
-18,-19,0,0,5,12,5,9,11,3,17,6,25,13,West
-19,-20,0,0,4,12,5,9,11,3,17,6,25,13,West
-22,-23,0,0,5,12,5,9,11,3,17,6,25,13,West
-23,-24,0,0,4,12,5,9,11,3,17,6,25,13,West
-24,-25,0,0,3,12,5,9,11,3,17,6,25,13,West
-27,-28,0,0,4,12,5,9,11,3,17,6,25,13,West
-28,-29,0,0,3,12,5,9,11,3,17,6,25,13,West
-29,-30,0,0,2,12,5,9,11,3,17,6,25,13,West
-30,-31,0,0,1,12,5,9,11,3,17,6,25,13,West
-34,-35,0,0,3,12,5,9,11,3,17,6,25,13,West
-35,-36,0,0,2,12,5,9,11,3,17,6,25,13,West
-36,-37,0,0,1,12,5,9,11,3,17,6,25,13,West
-40,-41,0,0,3,12,5,9,11,3,17,6,25,13,West
-41,-42,0,0,2,12,5,9,11,3,17,6,25,13,West
-43,-44,0,0,2,12,5,9,11,3,17,6,25,13,West
-46,-47,0,0,3,12,5,9,11,3,17,6,25,13,West
-51,-52,0,0,6,12,5,9,11,3,17,6,25,13,West
-58,-59,0,0,8,11,5,9,11,3,17,6,25,13,West
-65,-66,0,0,8,8,5,9,11,3,17,6,25,13,West
-68,-69,0,0,8,9,5,9,11,3,17,6,25,13,West
-73,-74,0,0,8,8,5,9,11,3,17,6,25,13,West
-77,-78,0,0,8,10,5,9,11,3,17,6,25,13,West
-81,-82,0,0,8,10,5,9,11,3,17,6,25,13,West
-83,-84,0,0,8,10,5,9,11,3,17,6,25,13,West
-90,-91,0,0,8,9,5,9,11,3,17,6,25,13,West
-93,-94,0,0,8,10,5,9,11,3,17,6,25,13,West
-100,-101,0,0,8,11,5,9,11,3,17,6,25,13,West
-102,-103,0,0,8,11,5,9,11,3,17,6,25,13,West
-104,-105,0,0,8,11,5,9,11,3,17,6,25,13,West
-110,-111,0,0,8,9,5,9,11,3,17,6,25,13,West
-115,-116,0,0,8,8,5,9,11,3,17,6,25,13,West
-119,-120,0,0,8,8,5,9,11,3,17,6,25,13,West
-126,-127,0,0,8,9,5,9,11,3,17,6,25,13,West
-131,-132,0,0,8,8,5,9,11,3,17,6,25,13,West
-133,-134,0,0,8,8,5,9,11,3,17,6,25,13,West
-135,-136,0,0,8,8,5,9,11,3,17,6,25,13,West
-139,-140,0,0,8,10,5,9,11,3,17,6,25,13,West
-141,-142,0,0,8,10,5,9,11,3,17,6,25,13,West
-144,-145,0,0,8,11,5,9,11,3,17,6,25,13,West
-146,-147,0,0,8,11,5,9,11,3,17,6,25,13,West
-148,-149,0,0,8,11,5,9,11,3,17,6,25,13,West
-155,-156,0,0,8,10,5,9,11,3,17,6,25,13,West
-157,-158,0,0,8,10,5,9,11,3,17,6,25,13,West
-160,-161,0,0,8,11,5,9,11,3,17,6,25,13,West
-163,-164,0,0,8,10,5,9,11,3,17,6,25,13,West
-170,-171,0,0,8,7,5,9,11,3,17,6,25,13,West
-4,-5,0,0,3,6,6,4,8,6,11,3,16,6,West
-8,-9,0,0,5,6,6,4,8,6,11,3,16,6,West
187,186,0,0,8,6,6,4,-1,-1,11,3,16,6,West
185,184,0,0,8,6,6,4,-1,-1,11,3,16,6,West
184,183,0,0,7,6,6,4,-1,-1,11,3,16,6,West
381,380,0,0,6,4,-1,-1,-1,-1,11,3,16,6,West
-1,-2,0,0,2,6,6,4,8,6,11,3,16,6,East
-2,-3,0,0,3,6,6,4,8,6,11,3,16,6,East
-3,-4,0,0,4,6,6,4,8,6,11,3,16,6,East
