future_score,current_score,food,capsules,ghost0_dist,ghost0_dire,ghost1_dist,ghost1_dire,ghost2_dist,ghost2_dire,ghost3_dist,ghost3_dire,prev_action
0,0,1,0,11,West,9,West,5,South,3,North,Stop
-1,0,1,0,11,West,9,West,5,South,1,North,North
-2,-1,1,0,11,West,7,West,7,South,1,South,North
-3,-2,1,0,11,West,9,West,7,South,3,North,South
-4,-3,1,0,12,South,9,West,8,South,1,East,North
195,-4,1,0,12,West,10,West,6,South,-1,NULL,East
194,195,1,0,10,West,10,West,6,South,-1,NULL,South
193,194,1,0,8,West,12,West,4,South,-1,NULL,South
192,193,1,0,8,West,13,West,2,South,-1,NULL,South
191,192,1,0,8,West,15,West,1,South,-1,NULL,South
390,191,1,0,8,West,15,West,-1,NULL,-1,NULL,South
389,390,1,0,7,West,13,West,-1,NULL,-1,NULL,West
388,389,1,0,6,West,13,West,-1,NULL,-1,NULL,West
387,388,1,0,5,West,13,West,-1,NULL,-1,NULL,West
386,387,1,0,5,West,13,West,-1,NULL,-1,NULL,West
385,386,1,0,5,West,11,West,-1,NULL,-1,NULL,West
384,385,1,0,5,West,11,North,-1,NULL,-1,NULL,West
383,384,1,0,3,West,11,North,-1,NULL,-1,NULL,West
382,383,1,0,3,West,10,North,-1,NULL,-1,NULL,West
381,382,1,0,1,South,8,North,-1,NULL,-1,NULL,West
580,381,1,0,-1,NULL,9,North,-1,NULL,-1,NULL,South
579,580,1,0,-1,NULL,7,North,-1,NULL,-1,NULL,North
578,579,1,0,-1,NULL,5,North,-1,NULL,-1,NULL,North
577,578,1,0,-1,NULL,4,North,-1,NULL,-1,NULL,North
576,577,1,0,-1,NULL,6,West,-1,NULL,-1,NULL,East
575,576,1,0,-1,NULL,4,North,-1,NULL,-1,NULL,West
574,575,1,0,-1,NULL,6,North,-1,NULL,-1,NULL,East
573,574,1,0,-1,NULL,8,North,-1,NULL,-1,NULL,South
572,573,1,0,-1,NULL,6,North,-1,NULL,-1,NULL,North
571,572,1,0,-1,NULL,6,North,-1,NULL,-1,NULL,West
570,571,1,0,-1,NULL,6,North,-1,NULL,-1,NULL,South
569,570,1,0,-1,NULL,5,North,-1,NULL,-1,NULL,North
568,569,1,0,-1,NULL,5,North,-1,NULL,-1,NULL,West
567,568,1,0,-1,NULL,5,North,-1,NULL,-1,NULL,South
566,567,1,0,-1,NULL,3,North,-1,NULL,-1,NULL,North
565,566,1,0,-1,NULL,3,North,-1,NULL,-1,NULL,South
564,565,1,0,-1,NULL,2,North,-1,NULL,-1,NULL,North
563,564,1,0,-1,NULL,4,North,-1,NULL,-1,NULL,South
562,563,1,0,-1,NULL,2,North,-1,NULL,-1,NULL,North
561,562,1,0,-1,NULL,4,North,-1,NULL,-1,NULL,West
560,561,1,0,-1,NULL,5,North,-1,NULL,-1,NULL,South
559,560,1,0,-1,NULL,5,North,-1,NULL,-1,NULL,North
558,559,1,0,-1,NULL,5,North,-1,NULL,-1,NULL,East
557,558,1,0,-1,NULL,5,North,-1,NULL,-1,NULL,East
