@relation training_tutorial1+

@attribute future_score numeric
@attribute current_score numeric
@attribute food numeric
@attribute capsules numeric
@attribute ghost0_dist numeric
@attribute ghost0_dire {NULL,West,East,North,South}
@attribute ghost1_dist numeric
@attribute ghost1_dire {NULL,West,East,North,South}
@attribute ghost2_dist numeric
@attribute ghost2_dire {NULL,West,East,North,South}
@attribute ghost3_dist numeric
@attribute ghost3_dire {NULL,West,East,North,South}
@attribute prev_action {Stop,West,East,North,South}

@data
0,0,1,0,11,West,9,West,5,South,3,North,Stop
-1,0,1,0,13,West,9,West,7,South,3,North,North
-2,-1,1,0,14,South,8,West,9,South,3,North,North
-3,-2,1,0,16,South,8,West,9,South,3,East,North
-4,-3,1,0,16,South,8,West,9,South,2,South,East
195,-4,1,0,16,South,9,West,8,South,-1,NULL,South
194,195,1,0,16,West,10,West,7,South,-1,NULL,South
193,194,1,0,14,West,10,West,6,South,-1,NULL,South
192,193,1,0,12,West,12,West,4,South,-1,NULL,South
191,192,1,0,10,West,14,West,4,South,-1,NULL,South
190,191,1,0,8,West,14,West,4,South,-1,NULL,South
189,190,1,0,8,West,16,North,4,South,-1,NULL,South
188,189,1,0,8,West,16,North,3,East,-1,NULL,South
187,188,1,0,10,West,17,North,3,East,-1,NULL,East
186,187,1,0,12,West,19,West,1,South,-1,NULL,East
385,186,1,0,12,West,19,North,-1,NULL,-1,NULL,South
384,385,1,0,12,West,19,North,-1,NULL,-1,NULL,West
383,384,1,0,10,West,18,North,-1,NULL,-1,NULL,West
382,383,1,0,8,West,16,North,-1,NULL,-1,NULL,West
381,382,1,0,6,West,16,North,-1,NULL,-1,NULL,West
380,381,1,0,6,West,16,North,-1,NULL,-1,NULL,West
379,380,1,0,4,North,15,North,-1,NULL,-1,NULL,West
378,379,1,0,3,West,15,North,-1,NULL,-1,NULL,North
377,378,1,0,3,West,13,North,-1,NULL,-1,NULL,West
376,377,1,0,3,West,13,North,-1,NULL,-1,NULL,West
375,376,1,0,2,North,11,North,-1,NULL,-1,NULL,West
374,375,1,0,1,West,9,North,-1,NULL,-1,NULL,North
573,374,1,0,-1,NULL,7,North,-1,NULL,-1,NULL,West
572,573,1,0,-1,NULL,7,North,-1,NULL,-1,NULL,North
571,572,1,0,-1,NULL,7,North,-1,NULL,-1,NULL,North
570,571,1,0,-1,NULL,5,North,-1,NULL,-1,NULL,North
569,570,1,0,-1,NULL,7,North,-1,NULL,-1,NULL,West
568,569,1,0,-1,NULL,5,North,-1,NULL,-1,NULL,East
567,568,1,0,-1,NULL,7,North,-1,NULL,-1,NULL,South
566,567,1,0,-1,NULL,5,North,-1,NULL,-1,NULL,North
565,566,1,0,-1,NULL,7,North,-1,NULL,-1,NULL,West
564,565,1,0,-1,NULL,6,North,-1,NULL,-1,NULL,East
563,564,1,0,-1,NULL,7,North,-1,NULL,-1,NULL,West
562,563,1,0,-1,NULL,7,North,-1,NULL,-1,NULL,East
561,562,1,0,-1,NULL,7,North,-1,NULL,-1,NULL,East
560,561,1,0,-1,NULL,7,North,-1,NULL,-1,NULL,North
559,560,1,0,-1,NULL,7,East,-1,NULL,-1,NULL,North
558,559,1,0,-1,NULL,5,North,-1,NULL,-1,NULL,East
