@relation adult-data-training-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute age numeric
@attribute workclass {Private,Self-emp-not-inc,Self-emp-inc,Federal-gov,Local-gov,State-gov,Without-pay,Never-worked}
@attribute fnlwgt numeric
@attribute education {Bachelors,Some-college,11th,HS-grad,Prof-school,Assoc-acdm,Assoc-voc,9th,7th-8th,12th,Masters,1st-4th,10th,Doctorate,5th-6th,Preschool}
@attribute education-num numeric
@attribute marital-status {Married-civ-spouse,Divorced,Never-married,Separated,Widowed,Married-spouse-absent,Married-AF-spouse}
@attribute occupation {Tech-support,Craft-repair,Other-service,Sales,Exec-managerial,Prof-specialty,Handlers-cleaners,Machine-op-inspct,Adm-clerical,Farming-fishing,Transport-moving,Priv-house-serv,Protective-serv,Armed-Forces}
@attribute relationship {Wife,Own-child,Husband,Not-in-family,Other-relative,Unmarried}
@attribute race {White,Asian-Pac-Islander,Amer-Indian-Eskimo,Other,Black}
@attribute sex {Female,Male}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute native-country {United-States,Cambodia,England,Puerto-Rico,Canada,Germany,Outlying-US(Guam-USVI-etc),India,Japan,Greece,South,China,Cuba,Iran,Honduras,Philippines,Italy,Poland,Jamaica,Vietnam,Mexico,Portugal,Ireland,France,Dominican-Republic,Laos,Ecuador,Taiwan,Haiti,Columbia,Hungary,Guatemala,Nicaragua,Scotland,Thailand,Yugoslavia,El-Salvador,Trinadad&Tobago,Peru,Hong,Holand-Netherlands}
@attribute salary {>50K,<=50K}

@data
0.479452,Private,0.096045,HS-grad,0.533333,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,1,0,0.397959,Japan,>50K
0.369863,Private,0.134508,HS-grad,0.533333,Never-married,Exec-managerial,Not-in-family,White,Male,0,0.359045,0.55102,England,>50K
0.383562,State-gov,0.138643,Bachelors,0.8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.072981,0,0.397959,United-States,>50K
0.506849,Federal-gov,0.013938,HS-grad,0.533333,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,0.397959,United-States,>50K
0.534247,Private,0.14318,Some-college,0.6,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.44898,United-States,>50K
0.219178,Private,0.048331,11th,0.4,Divorced,Exec-managerial,Unmarried,White,Female,0,0,0.397959,United-States,>50K
0.205479,Federal-gov,0.078993,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.397959,United-States,>50K
0.410959,Private,0.130356,Assoc-acdm,0.733333,Married-civ-spouse,Sales,Husband,White,Male,0.051781,0,0.5,United-States,>50K
0.219178,Private,0.207477,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,0.397959,United-States,>50K
0.616438,Private,0.040219,Some-college,0.6,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0.453857,0.989796,United-States,>50K
0.246575,Self-emp-not-inc,0.096622,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.602041,United-States,>50K
0.534247,Self-emp-inc,0.039504,Masters,0.866667,Divorced,Exec-managerial,Not-in-family,White,Male,0.278283,0,0.602041,United-States,>50K
0.383562,Private,0.195106,HS-grad,0.533333,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.602041,United-States,>50K
0.178082,Private,0.113692,Some-college,0.6,Never-married,Craft-repair,Not-in-family,White,Male,0,0,0.397959,United-States,>50K
0.821918,Self-emp-not-inc,0.041037,7th-8th,0.2,Married-spouse-absent,Adm-clerical,Not-in-family,White,Male,0,0,0.193878,Italy,>50K
0.287671,Private,0.131376,Assoc-voc,0.666667,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.5,United-States,>50K
0.452055,Self-emp-not-inc,0.03824,Masters,0.866667,Married-civ-spouse,Sales,Husband,White,Male,0.076881,0,0.55102,United-States,>50K
0.493151,Self-emp-inc,0.079424,Doctorate,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0.704082,United-States,>50K
0.39726,Private,0.195305,Doctorate,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.602041,United-States,>50K
0.178082,Self-emp-inc,0.044338,Bachelors,0.8,Married-civ-spouse,Sales,Husband,White,Male,0.076881,0,0.5,United-States,>50K
0.315068,Private,0.188683,Assoc-acdm,0.733333,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,0.397959,United-States,>50K
0.356164,Private,0.112718,Bachelors,0.8,Married-civ-spouse,Exec-managerial,Husband,White,Male,1,0,0.602041,United-States,>50K
0.164384,Federal-gov,0.240526,Masters,0.866667,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.397959,United-States,>50K
0.232877,Private,0.201224,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.397959,United-States,>50K
0.520548,Private,0.105511,HS-grad,0.533333,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0.397959,United-States,>50K
0.561644,Local-gov,0.206456,Masters,0.866667,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0.076881,0,0.295918,United-States,>50K
0.479452,Private,0.113819,HS-grad,0.533333,Divorced,Craft-repair,Other-relative,White,Male,0,0,0.55102,United-States,>50K
0.232877,Private,0.05263,Some-college,0.6,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.55102,United-States,>50K
0.383562,Private,0.169138,Bachelors,0.8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0.397959,United-States,>50K
0.39726,Private,0.306793,Doctorate,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0.554408,0.55102,United-States,>50K
0.287671,Local-gov,0.274288,Some-college,0.6,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,0.397959,United-States,>50K
0.260274,Self-emp-not-inc,0.228869,Doctorate,1,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,0.295918,?,>50K
0.342466,Self-emp-inc,0.006757,Masters,0.866667,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,0,0.50528,0.602041,India,>50K
0.123288,Private,0.114015,Bachelors,0.8,Married-civ-spouse,Other-service,Husband,White,Male,0,0,0.44898,United-States,>50K
0.205479,Self-emp-not-inc,0.111042,Bachelors,0.8,Divorced,Prof-specialty,Other-relative,White,Male,0,0,0.346939,United-States,>50K
0.260274,Private,0.121813,HS-grad,0.533333,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,0.397959,United-States,>50K
0.328767,Private,0.133997,Bachelors,0.8,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.397959,United-States,>50K
0.164384,Private,0.183724,Bachelors,0.8,Married-civ-spouse,Sales,Husband,White,Male,0.03103,0,0.44898,United-States,>50K
0.452055,Private,0.083372,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0.453857,0.397959,United-States,>50K
0.246575,Private,0.046795,Bachelors,0.8,Married-civ-spouse,Sales,Husband,White,Male,0.150242,0,0.5,United-States,>50K
0.232877,Self-emp-not-inc,0.128251,Bachelors,0.8,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0.150242,0,0.704082,South,>50K
0.561644,Private,0.214281,Bachelors,0.8,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,0.397959,United-States,>50K
0.383562,Private,0.023932,Some-college,0.6,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,0.397959,United-States,>50K
0.260274,Private,0.07976,Bachelors,0.8,Married-civ-spouse,Other-service,Husband,Black,Male,0.072981,0,0.357143,United-States,>50K
0.561644,Private,0.144609,10th,0.333333,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0.433196,0.397959,United-States,>50K
0.246575,Private,0.157704,Masters,0.866667,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.397959,United-States,>50K
0.39726,Private,0.11904,HS-grad,0.533333,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.653061,United-States,>50K
0.260274,Self-emp-inc,0.202812,Some-college,0.6,Married-civ-spouse,Sales,Husband,White,Male,0.150242,0,0.602041,United-States,>50K
0.178082,Private,0.34386,Bachelors,0.8,Never-married,Tech-support,Not-in-family,White,Female,0.04787,0,0.44898,United-States,>50K
0.315068,Private,0.170315,Masters,0.866667,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0.5,United-States,>50K
0.232877,Private,0.089569,Masters,0.866667,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0.072981,0,0.346939,Taiwan,>50K
0.287671,Local-gov,0.041581,Some-college,0.6,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,0.602041,United-States,>50K
0.315068,Self-emp-inc,0.108284,Assoc-acdm,0.733333,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,0.397959,United-States,>50K
0.534247,Private,0.21134,Masters,0.866667,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,0.806122,United-States,>50K
0.232877,Private,0.065443,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.5,United-States,>50K
0.219178,Self-emp-not-inc,0.206904,Bachelors,0.8,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.44898,United-States,>50K
0.287671,Private,0.161856,HS-grad,0.533333,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,0.397959,United-States,>50K
0.356164,Private,0.165607,Bachelors,0.8,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,0.397959,Haiti,>50K
0.616438,Private,0.106355,Bachelors,0.8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0.397959,United-States,>50K
0.383562,State-gov,0.12871,Masters,0.866667,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.44898,United-States,>50K
0.438356,Private,0.219076,Bachelors,0.8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0.436639,0.397959,United-States,>50K
0.342466,Private,0.184785,Masters,0.866667,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.397959,United-States,>50K
0.369863,Local-gov,0.215044,Bachelors,0.8,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,0.397959,United-States,>50K
0.534247,Self-emp-not-inc,0.033829,11th,0.4,Widowed,Other-service,Unmarried,White,Female,0,0,0.653061,Greece,>50K
0.493151,Private,0.113728,HS-grad,0.533333,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,0.397959,United-States,>50K
0.39726,Private,0.217171,Masters,0.866667,Married-civ-spouse,Sales,Husband,White,Male,0,0.554408,0.653061,United-States,>50K
0.479452,Federal-gov,0.144113,Bachelors,0.8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0.44898,United-States,>50K
0.342466,Private,0.136478,Some-college,0.6,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,0.193878,United-States,>50K
0.178082,Private,0.118792,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.397959,United-States,>50K
0.30137,Private,0.130584,Bachelors,0.8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.150242,0,0.44898,United-States,>50K
0.109589,Private,0.030427,Assoc-voc,0.666667,Married-civ-spouse,Sales,Wife,White,Female,0,0,0.418367,United-States,>50K
0.246575,Private,0.174635,Some-college,0.6,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,0.5,Jamaica,>50K
0.356164,State-gov,0.145116,Doctorate,1,Separated,Prof-specialty,Unmarried,White,Female,0,0,0.397959,United-States,>50K
0.260274,Federal-gov,0.025887,Bachelors,0.8,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,0.5,United-States,>50K
0.506849,Private,0.111743,9th,0.266667,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0.44898,United-States,>50K
0.684932,Private,0.13799,Masters,0.866667,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,0,0,0.55102,United-States,>50K
0.30137,Private,0.113331,Bachelors,0.8,Married-civ-spouse,Sales,Husband,White,Male,0.150242,0,0.5,United-States,>50K
0.410959,State-gov,0.046575,Masters,0.866667,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0.469388,United-States,>50K
0.479452,Private,0.151466,12th,0.466667,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,0.44898,United-States,>50K
0.465753,Private,0.4578,Masters,0.866667,Never-married,Prof-specialty,Not-in-family,White,Male,0.278283,0,0.397959,United-States,>50K
0.369863,Self-emp-not-inc,0.130386,Bachelors,0.8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0.554408,0.5,United-States,>50K
0.273973,Private,0.074741,Prof-school,0.933333,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.150242,0,0.44898,United-States,>50K
0.342466,Private,0.216128,Assoc-acdm,0.733333,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.076881,0,0.418367,United-States,>50K
0.30137,Private,0.155496,Bachelors,0.8,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.295918,United-States,>50K
0.438356,Private,0.118801,Masters,0.866667,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0.453857,0.397959,United-States,>50K
0.150685,Private,0.03559,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.397959,United-States,>50K
0.287671,Private,0.120764,Prof-school,0.933333,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0.554408,0.908163,United-States,>50K
0.671233,Private,0.069055,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.200512,0,0.397959,United-States,>50K
0.287671,Private,0.068526,Bachelors,0.8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0.55102,United-States,>50K
0.246575,Private,0.104571,HS-grad,0.533333,Married-civ-spouse,Other-service,Husband,White,Male,0,0,0.397959,Yugoslavia,>50K
0.342466,Self-emp-not-inc,0.059248,Some-college,0.6,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0.397959,United-States,>50K
0.219178,Private,0.135008,Masters,0.866667,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.5,United-States,>50K
0.178082,Private,0.314455,Masters,0.866667,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.438776,United-States,>50K
0.438356,Self-emp-inc,0.056072,Doctorate,1,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,0.602041,United-States,>50K
0.287671,Private,0.207054,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.5,United-States,>50K
0.273973,Private,0.131039,Some-college,0.6,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.479592,United-States,>50K
0.136986,Private,0.080362,Bachelors,0.8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0.397959,United-States,>50K
0.191781,Private,0.097428,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.428571,United-States,>50K
0.356164,Private,0.147838,Bachelors,0.8,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.5,United-States,>50K
0.369863,Private,0.112281,11th,0.4,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.397959,United-States,>50K
0.479452,Private,0.067269,Masters,0.866667,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.5,United-States,>50K
0.273973,Private,0.145432,HS-grad,0.533333,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.397959,United-States,>50K
0.315068,Private,0.023804,HS-grad,0.533333,Married-civ-spouse,Sales,Husband,White,Male,0.072981,0,0.44898,United-States,>50K
0.452055,Self-emp-inc,0.193822,HS-grad,0.533333,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.072981,0,0.397959,United-States,>50K
0.315068,Private,0.092351,HS-grad,0.533333,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0.436639,0.397959,United-States,>50K
0.30137,Private,0.069164,Bachelors,0.8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0.44898,United-States,>50K
0.465753,Private,0.122076,Some-college,0.6,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,0.142857,United-States,>50K
0.328767,Private,0.054773,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.397959,United-States,>50K
0.534247,Self-emp-not-inc,0.091425,HS-grad,0.533333,Married-civ-spouse,Other-service,Husband,White,Male,0,0.436639,0.602041,United-States,>50K
0.328767,Private,0.112304,Some-college,0.6,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.397959,United-States,>50K
0.520548,Private,0.233161,HS-grad,0.533333,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,0.44898,United-States,>50K
0.575342,Private,0.066499,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.397959,United-States,>50K
0.452055,Local-gov,0.109877,Prof-school,0.933333,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.397959,United-States,>50K
0.534247,?,0.082655,Masters,0.866667,Never-married,?,Not-in-family,White,Female,0,0,0.5,United-States,>50K
0.39726,Private,0.066868,Masters,0.866667,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.150242,0,0.5,United-States,>50K
0.452055,Federal-gov,0.144113,Assoc-acdm,0.733333,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.397959,United-States,>50K
0.506849,Private,0.016278,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.397959,United-States,>50K
0.315068,Private,0.118152,Assoc-voc,0.666667,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.397959,United-States,>50K
